,ACC,trial_id,Learning Method,Training Size,partition_random_state,currerent_fold,data_percentage,batch_size,layer_model,lr,iter,total time (s),val_loss
1250,80.4166,training_dac22_00033,TCL (Conv) DLH,8,2,2,0.0000364651,4,"(4, 'TCL')",0.000449005,2,1399.4,0.65643
1251,75.8265,training_dac22_00015,TCL (Conv) DLH,4,0,3,0.0000182325,8,"(6, 'TCL')",0.00721898,2,1311.58,0.984222
1252,75.8265,training_dac22_00055,TCL (Conv) DLH,6,2,3,0.0000273488,16,"(6, 'TCL')",0.0000185179,2,1063.67,0.668231
1253,75.8223,training_dac22_00031,TCL (Conv) DLH,6,0,3,0.0000273488,4,"(6, 'TCL')",0.000785878,2,1298.84,0.576413
1254,75.7442,training_dac22_00000,TCL (Conv) DLH,4,1,0,0.0000182325,16,"(3, 'TCL')",0.00204211,2,1131.6,0.561043
1255,74.9299,training_dac22_00047,TCL (Conv) DLH,8,0,2,0.0000364651,16,"(6, 'TCL')",0.0000636063,2,989.128,0.678829
1256,73.9,training_dac22_00007,TCL (Conv) DLH,6,0,2,0.0000273488,4,"(6, 'TCL')",0.0455926,2,1587.93,1097.16
1257,73.9,training_dac22_00035,TCL (Conv) DLH,8,0,2,0.0000364651,4,"(6, 'TCL')",0.0232658,2,1438.58,18.8006
1258,73.9,training_dac22_00045,TCL (Conv) DLH,8,0,2,0.0000364651,4,"(4, 'TCL')",0.0568943,2,1447.88,3541.4
1259,73.895,training_dac22_00026,TCL (Conv) DLH,4,2,2,0.0000182325,2,"(5, 'TCL')",0.0924993,2,1572.08,11647.7
1260,73.8449,training_dac22_00003,TCL (Conv) DLH,4,1,2,0.0000182325,2,"(6, 'TCL')",0.0264375,2,1581.58,212.219
1261,73.8399,training_dac22_00010,TCL (Conv) DLH,8,0,2,0.0000364651,8,"(5, 'TCL')",0.0000402425,2,1437.77,0.677033
1262,73.7637,training_dac22_00044,TCL (Conv) DLH,8,2,3,0.0000364651,16,"(3, 'TCL')",0.00690479,2,873.525,1.89631
1263,72.3283,training_dac22_00048,TCL (Conv) DLH,4,2,0,0.0000182325,2,"(3, 'TCL')",0.000298404,2,1654.58,0.657947
