,"ACC","trial_id","Learning Method","training_size","partition_random_state","currerent_fold","data_percentage","batch_size","layer_model","lr","iter","total time (s)","val_loss"
1310,82.7378,"training_6b323_00000","TCL (Conv) DLH",400,2,4,0.00182325,4,"[3, 'TCL']",0.0003468980,1,491.567,0.415692
1311,52.6706,"training_6b323_00002","TCL (Conv) DLH",400,2,3,0.00182325,16,"[5, 'TCL']",0.0000240267,1,462.437,0.67932
1312,74.8973,"training_6b323_00009","TCL (Conv) DLH",800,0,3,0.00364651,16,"[4, 'TCL']",0.0014921800,1,427.172,0.567205
1313,76.4887,"training_6b323_00010","TCL (Conv) DLH",800,0,4,0.00364651,16,"[5, 'TCL']",0.0010750900,1,381.659,0.536647
1314,26.5624,"training_6b323_00004","TCL (Conv) DLH",600,0,2,0.00273488,16,"[3, 'TCL']",0.0349029000,1,476.547,4.29994
1315,74.7897,"training_6b323_00007","TCL (Conv) DLH",600,1,2,0.00273488,2,"[6, 'TCL']",0.0000194376,1,806.177,0.537817
1316,77.1519,"training_6b323_00003","TCL (Conv) DLH",400,0,0,0.00182325,16,"[6, 'TCL']",0.0001373740,1,529.761,0.527132
1317,67.7525,"training_6b323_00006","TCL (Conv) DLH",600,2,1,0.00273488,16,"[5, 'TCL']",0.0006801490,1,567.082,0.566024
1318,26.1402,"training_6b323_00005","TCL (Conv) DLH",600,1,4,0.00273488,4,"[4, 'TCL']",0.0157213000,1,510.46,0.761315
1319,26.2653,"training_6b323_00011","TCL (Conv) DLH",800,2,2,0.00364651,4,"[6, 'TCL']",0.0169767000,1,696.569,0.730903
1320,73.2609,"training_6b323_00008","TCL (Conv) DLH",800,0,4,0.00364651,8,"[3, 'TCL']",0.0000315137,1,521.588,0.521046
1321,71.3222,"training_6b323_00001","TCL (Conv) DLH",400,0,4,0.00182325,16,"[4, 'TCL']",0.0000685350,1,361.379,0.559525
